,DT
1696,140.5081667
1697,134.2128333
1698,139.0241667
1699,133.73
1700,134.545
1701,128.0316667
1702,127.2593333
1703,118.5649167
1704,95.27178333
1705,62.845
1706,58.93083333
1707,59.29105
1708,81.86285
1709,76.68526667
1710,77.65971667
1711,94.76565
1712,102.6879333
1713,113.27395
1714,108.9384167
1715,129.0479667
1716,142.3975
1717,121.1526667
1718,121.9407833
1719,129.8825
1720,133.3746667
1721,127.9967833
1722,125.1706667
1723,118.3956667
1724,142.2501667
1725,132.6115
1726,108.2894833
1727,105.9672833
1728,111.5615
1729,88.98
1730,81.79833333
1731,80.94416667
1732,80.74416667
1733,80.16916667
1734,81.0187
1735,85.6928
1736,108.2027333
1737,150.8083333
1738,147.9925
1739,147.3616667
1740,140.2283333
1741,126.2421667
1742,100.0624167
1743,86.06166667
